
______________________________________________________________________________________________________________
| Lần lặp |        Nghiệm x         |             f(x)             |     Đầu mút a      |     Đầu mút b      |
______________________________________________________________________________________________________________
|    1    |         6.6615          |       2723.3681596851        |       4.823        |       6.6615       |
|    2    |         5.74225         |       -476.5557397302        |      5.74225       |       6.6615       |
|    3    |        6.201875         |        697.706340966         |      5.74225       |      6.201875      |
|    4    |        5.9720625        |         20.921911567         |      5.74225       |     5.9720625      |
|    5    |       5.85715625        |       -248.3127235942        |     5.85715625     |     5.9720625      |
|    6    |       5.914609375       |       -119.0513077147        |    5.914609375     |     5.9720625      |
|    7    |      5.9433359375       |        -50.4333372734        |    5.9433359375    |     5.9720625      |
|    8    |      5.9576992187       |        -15.1016228918        |    5.9576992187    |     5.9720625      |
|    9    |      5.9648808594       |         2.8231953944         |    5.9576992187    |    5.9648808594    |
|   10    |      5.9612900391       |        -6.1608919366         |    5.9612900391    |    5.9648808594    |
|   11    |      5.9630854492       |        -1.6742751917         |    5.9630854492    |    5.9648808594    |
|   12    |      5.9639831543       |         0.5731024489         |    5.9630854492    |    5.9639831543    |
|   13    |      5.9635343018       |        -0.5509256692         |    5.9635343018    |    5.9639831543    |
|   14    |       5.963758728       |         0.011003551          |    5.9635343018    |    5.963758728     |
|   15    |      5.9636465149       |         -0.269982267         |    5.9636465149    |    5.963758728     |
|   16    |      5.9637026215       |        -0.1294946602         |    5.9637026215    |    5.963758728     |
|   17    |      5.9637306747       |        -0.0592468802         |    5.9637306747    |    5.963758728     |
|   18    |      5.9637447014       |         -0.024121996         |    5.9637447014    |    5.963758728     |
|   19    |      5.9637517147       |        -0.0065593054         |    5.9637517147    |    5.963758728     |
|   20    |      5.9637552214       |         0.0022221021         |    5.9637517147    |    5.9637552214    |
|   21    |       5.963753468       |        -0.0021686068         |    5.963753468     |    5.9637552214    |
|   22    |      5.9637543447       |         2.67464e-05          |    5.963753468     |    5.9637543447    |
|   23    |      5.9637539064       |        -0.0010709305         |    5.9637539064    |    5.9637543447    |
|   24    |      5.9637541255       |        -0.0005220922         |    5.9637541255    |    5.9637543447    |
|   25    |      5.9637542351       |        -0.0002476729         |    5.9637542351    |    5.9637543447    |
|   26    |      5.9637542899       |        -0.0001104633         |    5.9637542899    |    5.9637543447    |
______________________________________________________________________________________________________________
Nghiệm gần đúng của phương trình là: 5.963754289910198
